Product ID,Month,Units Sold,Profit,ABC,XYZ
1,Апрель,26,13000.0,A,X
1,Май,26,13000.0,A,X
1,Июнь,26,13000.0,A,X
1,Июль,27,13500.0,A,X
2,Апрель,69,34500.0,A,X
2,Май,70,35000.0,A,X
2,Июнь,69,34500.0,A,X
2,Июль,72,36000.0,A,X
3,Апрель,23,11500.0,A,X
3,Май,24,12000.0,A,X
3,Июнь,23,11500.0,A,X
3,Июль,23,11500.0,A,X
4,Апрель,69,22770.0,A,X
4,Май,69,22770.0,A,X
4,Июнь,69,22770.0,A,X
4,Июль,66,21780.0,A,X
5,Апрель,25,10000.0,A,X
5,Май,24,9600.0,A,X
5,Июнь,24,9600.0,A,X
5,Июль,25,10000.0,A,X
6,Апрель,19,14440.0,A,X
6,Май,19,14440.0,A,X
6,Июнь,19,14440.0,A,X
6,Июль,20,15200.0,A,X
7,Апрель,75,19500.0,A,X
7,Май,79,20540.0,A,X
7,Июнь,79,20540.0,A,X
7,Июль,76,19760.0,A,X
8,Апрель,78,39000.0,A,X
8,Май,78,39000.0,A,X
8,Июнь,75,37500.0,A,X
8,Июль,74,37000.0,A,X
9,Апрель,20,5000.0,B,X
9,Май,21,5250.0,B,X
9,Июнь,20,5000.0,B,X
9,Июль,21,5250.0,B,X
10,Апрель,18,8640.0,A,X
10,Май,18,8640.0,A,X
10,Июнь,17,8160.0,A,X
10,Июль,18,8640.0,A,X
11,Апрель,64,57600.0,A,X
11,Май,63,56700.0,A,X
11,Июнь,61,54900.0,A,X
11,Июль,60,54000.0,A,X
12,Апрель,16,6400.0,A,X
12,Май,16,6400.0,B,X
12,Июнь,16,6400.0,B,X
12,Июль,17,6800.0,A,X
13,Апрель,59,11800.0,A,X
13,Май,64,12800.0,A,X
13,Июнь,61,12200.0,A,X
13,Июль,62,12400.0,A,X
14,Апрель,15,4350.0,B,X
14,Май,14,4060.0,B,X
14,Июнь,15,4350.0,B,X
14,Июль,15,4350.0,B,X
15,Апрель,61,24400.0,A,X
15,Май,61,24400.0,A,X
15,Июнь,57,22800.0,A,X
15,Июль,58,23200.0,A,X
16,Апрель,17,11900.0,A,X
16,Май,16,11200.0,A,X
16,Июнь,17,11900.0,A,X
16,Июль,16,11200.0,A,X
17,Апрель,65,26000.0,A,X
17,Май,69,27600.0,A,X
17,Июнь,70,28000.0,A,X
17,Июль,66,26400.0,A,X
18,Апрель,25,12500.0,A,X
18,Май,26,13000.0,A,X
18,Июнь,24,12000.0,A,X
18,Июль,26,13000.0,A,X
19,Апрель,26,10400.0,A,X
19,Май,24,9600.0,A,X
19,Июнь,25,10000.0,A,X
19,Июль,26,10400.0,A,X
20,Апрель,26,4160.0,B,X
20,Май,24,3840.0,B,X
20,Июнь,26,4160.0,B,X
20,Июль,25,4000.0,B,X
21,Апрель,15,12000.0,A,X
21,Май,14,11200.0,A,X
21,Июнь,15,12000.0,A,X
21,Июль,14,11200.0,A,X
22,Апрель,12,6480.0,A,X
22,Май,12,6480.0,B,X
22,Июнь,12,6480.0,A,X
22,Июль,13,7020.0,A,X
23,Апрель,20,6200.0,A,X
23,Май,20,6200.0,B,X
23,Июнь,19,5890.0,B,X
23,Июль,21,6510.0,B,X
24,Апрель,34,12240.0,A,X
24,Май,32,11520.0,A,X
24,Июнь,35,12600.0,A,X
24,Июль,35,12600.0,A,X
25,Апрель,59,35400.0,A,X
25,Май,57,34200.0,A,X
25,Июнь,63,37800.0,A,X
25,Июль,59,35400.0,A,X
26,Апрель,56,19600.0,A,X
26,Май,59,20650.0,A,X
26,Июнь,58,20300.0,A,X
26,Июль,62,21700.0,A,X
27,Апрель,19,2470.0,B,X
27,Май,19,2470.0,C,X
27,Июнь,18,2340.0,B,X
27,Июль,20,2600.0,C,X
28,Апрель,19,5700.0,A,X
28,Май,20,6000.0,B,X
28,Июнь,18,5400.0,B,X
28,Июль,19,5700.0,B,X
29,Апрель,21,8400.0,A,X
29,Май,23,9200.0,A,X
29,Июнь,23,9200.0,A,X
29,Июль,22,8800.0,A,X
30,Апрель,77,25410.0,A,X
30,Май,85,28050.0,A,X
30,Июнь,80,26400.0,A,X
30,Июль,83,27390.0,A,X
31,Апрель,60,39000.0,A,X
31,Май,61,39650.0,A,X
31,Июнь,66,42900.0,A,X
31,Июль,64,41600.0,A,X
32,Апрель,61,30500.0,A,X
32,Май,55,27500.0,A,X
32,Июнь,60,30000.0,A,X
32,Июль,59,29500.0,A,X
33,Апрель,22,30140.0,A,X
33,Май,21,28770.0,A,X
33,Июнь,20,27400.0,A,X
33,Июль,22,30140.0,A,X
34,Апрель,18,12240.0,A,X
34,Май,17,11560.0,A,X
34,Июнь,18,12240.0,A,X
34,Июль,19,12920.0,A,X
35,Апрель,26,13000.0,A,X
35,Май,26,13000.0,A,X
35,Июнь,24,12000.0,A,X
35,Июль,24,12000.0,A,X
36,Апрель,18,4500.0,B,X
36,Май,17,4250.0,B,X
36,Июнь,17,4250.0,B,X
36,Июль,16,4000.0,B,X
37,Апрель,10,2300.0,B,X
37,Май,10,2300.0,C,X
37,Июнь,10,2300.0,C,X
37,Июль,11,2530.0,C,X
38,Апрель,22,12760.0,A,X
38,Май,24,13920.0,A,X
38,Июнь,22,12760.0,A,X
38,Июль,24,13920.0,A,X
39,Апрель,79,44240.0,A,X
39,Май,75,42000.0,A,X
39,Июнь,83,46480.0,A,X
39,Июль,84,47040.0,A,X
40,Апрель,72,43200.0,A,X
40,Май,65,39000.0,A,X
40,Июнь,66,39600.0,A,X
40,Июль,71,42600.0,A,X
41,Апрель,19,5700.0,A,X
41,Май,19,5700.0,B,X
41,Июнь,21,6300.0,B,X
41,Июль,19,5700.0,B,X
42,Апрель,10,3000.0,B,X
42,Май,10,3000.0,B,X
42,Июнь,9,2700.0,B,X
42,Июль,10,3000.0,B,X
43,Апрель,9,4500.0,B,X
43,Май,10,5000.0,B,X
43,Июнь,9,4500.0,B,X
43,Июль,9,4500.0,B,X
44,Апрель,69,41400.0,A,X
44,Май,72,43200.0,A,X
44,Июнь,70,42000.0,A,X
44,Июль,78,46800.0,A,X
45,Апрель,66,17160.0,A,X
45,Май,69,17940.0,A,X
45,Июнь,65,16900.0,A,X
