Product ID,Товар,Закупочная цена,Цена продажи,Остаток
1,коронка по кафелю 60мм,2100.0,2600.0,1
2,Пистолет для герметиков,600.0,1100.0,1
3,диск щетка,1000.0,1500.0,1
4,тарелка опорная пластиковая М14,320.0,650.0,9
5,ключи шестигранные 18,1400.0,1800.0,1
6,Профиль 6см,940.0,1700.0,12
7,перьевое по дереву 14мм,240.0,500.0,2
8,черенок телескопическая ручка,700.0,1200.0,6
9,Бур по бетону 14*160,350.0,600.0,1
10,коронка по кафелю 30мм,720.0,1200.0,1
11,горелка газовая басы,2600.0,3500.0,2
12,диск алмазный отрезной 110мм,2100.0,2500.0,1
13,диск 180,350.0,550.0,3
14,метр 3м,310.0,600.0,8
15,Бур по бетону 8*200,300.0,700.0,2
16,шпатель полукруг,1800.0,2500.0,2
17,перьевое по дереву 25мм,650.0,1050.0,1
18,Пила по гипсокартону,1500.0,2000.0,2
19,электрод арсенал,3900.0,4300.0,4
20,кисть 100мм,200.0,360.0,10
21,Уровень 80см,2100.0,2900.0,1
22,коронка по кафелю 35мм,960.0,1500.0,1
23,шпатель 200мм,490.0,800.0,5
24,пробел 150см,2240.0,2600.0,2
25,плоскогубцы 8,1400.0,2000.0,6
26,Уровень 60см,800.0,1150.0,1
27,кисть 63мм,70.0,200.0,6
28,набор бит торцевых,350.0,650.0,4
29,пильный диск по дереву 210мм,3600.0,4000.0,1
30,шпатель 100мм,270.0,600.0,4
31,Уровень 60см,1900.0,2550.0,3
32,коронка по кафелю 60мм,1600.0,2100.0,1
33,Финиш,5830.0,7200.0,2
34,Сверло 9мм,720.0,1400.0,4
35,Ножовка по металлу,2000.0,2500.0,1
36,Щетка ABB,350.0,600.0,2
37,Сверло 4мм,170.0,400.0,8
38,Горизонт,3220.0,3800.0,2
39,ножницы,690.0,1250.0,3
40,пистолет скобозабивной зубр,1900.0,2500.0,2
41,коронка по кафелю 70мм,2500.0,2800.0,3
42,адаптер-переходник шуруповертка,1300.0,1600.0,5
43,биметаллическая коронка 85мм,1200.0,1700.0,2
44,коронка по кафелю 40мм,1300.0,1900.0,1
45,стяжка кабельная 200мм,240.0,500.0,10
46,алмазная полировальная подушка 300,600.0,900.0,13
47,диск алмазный отрезной 180мм,3200.0,3500.0,1
48,Сверло 5мм,230.0,550.0,4
49,угловая линейка 35см,600.0,1100.0,2
50,Направляющий 7см,950.0,1900.0,5
51,труборез,700.0,1200.0,4
52,Сверло 12мм,1600.0,2000.0,4
53,Joint,6300.0,6900.0,2
54,диск алмазный отрезной 110мм,900.0,1300.0,1
55,шпатель кафельге 200мм,570.0,900.0,2
56,шпатель кафельге 150мм,430.0,700.0,2
57,перьевое по дереву 18мм,450.0,900.0,2
58,набор ключей,2100.0,2800.0,1
59,шпатель 40мм,150.0,400.0,2
60,перьевое по дереву 22мм,550.0,1000.0,2
61,плоскогубцы 6,450.0,900.0,1
62,Бур по бетону 6*110,350.0,600.0,17
63,Бур по бетону 12*210,890.0,1200.0,2
64,диск алмазный по стеклу 110мм,2900.0,3400.0,1
65,диск 125,210.0,350.0,24
66,Ротбанд,2600.0,3500.0,15
67,кисть 75мм,180.0,400.0,8
68,угловая линейка 25см,300.0,600.0,3
69,карманная проволочная пила,400.0,1000.0,8
70,набор бит торцевых,700.0,1100.0,1
71,Бур по бетону 6*200,310.0,500.0,1
72,коронка по кафелю 10мм,460.0,800.0,8
73,Бур по бетону 12*200,650.0,1000.0,3
74,насадка для пены,40.0,200.0,15
75,крюк,600.0,850.0,10
76,набор шестигранник 6,200.0,500.0,8
77,Сверло 7мм,550.0,1000.0,10
78,коронка по кафелю 68мм,2150.0,2600.0,3
79,стяжка кабельная 150мм,190.0,300.0,3
80,лезвие,45.0,160.0,10
81,Бур по бетону 6*160,400.0,700.0,15
82,Цемент гежуба,2800.0,4200.0,3
83,гидроуровень,2500.0,3000.0,2
84,Сверло 11мм,1400.0,1800.0,5
85,шестигранник,80.0,150.0,10
86,коронка по кафелю 50мм,1800.0,2300.0,2
87,пистолет для монтажной пены,1000.0,1800.0,3
88,ожау,310.0,650.0,5
89,Сверло 10мм,1200.0,1600.0,5
90,точилка для сверл,850.0,1300.0,1
91,шпатель 100мм,1130.0,1650.0,1
92,алмазная шлифовальная чашка,800.0,1200.0,15
93,Бур по бетону 10*200,550.0,800.0,3
94,щетка улкен,210.0,500.0,1
95,Уровень 1м,2300.0,3300.0,2
96,Зубило плоское,770.0,1200.0,2
97,Профиль 3см,650.0,900.0,6
98,шпатель кафельге 350мм,800.0,1500.0,1
99,канцелярский нож,450.0,800.0,1
100,Направляющий 5см,900.0,1700.0,1
101,угловая линейка 35см,2400.0,3100.0,1
102,гибкий вал,8400.0,8700.0,1
103,Бур по бетону 8*210,650.0,1000.0,2
104,лезвие,70.0,200.0,7
105,Скобы,200.0,300.0,10
106,ножницы по металлу,4000.0,4500.0,3
107,Бур по бетону 12*800,3200.0,3700.0,3
108,диск алмазный по стеклу 125мм,3300.0,3600.0,2
109,алмазная полировальная подушка 150,600.0,900.0,13
110,пробел 250см,6800.0,7200.0,1
111,кисть набор,1000.0,1500.0,2
112,миксер кишкентай,740.0,1000.0,4
113,Пистолет для герметиков,900.0,1400.0,2
114,бордовый ламинат устайтын,6100.0,6500.0,2
115,коронка по кафелю 40мм,1050.0,1500.0,1
116,шпатель кафельге 350мм,680.0,1200.0,2
117,клещи свп,1300.0,2000.0,2
118,очки для сварки,1200.0,1800.0,1
119,шпатель малярный,450.0,1000.0,3
120,кованые биты PH2,250.0,400.0,22
121,коронка по кафелю 28мм,600.0,1100.0,1
122,Квадрат канал пластик ак - Воздуховод,3000.0,4000.0,5
